epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,319.591,1.03467,0.54239,0.88873,0.97303,0.94717,0.9756,0.69797,0.98504,0.51866,0.87673,0.0048025,0.0048025,0.0048025
44,326.786,1.03913,0.53802,0.88828,0.97419,0.94262,0.97565,0.70932,0.9739,0.49938,0.8768,0.00467875,0.00467875,0.00467875
45,334.028,1.05411,0.53928,0.88756,0.96956,0.94855,0.97951,0.71393,0.97485,0.50541,0.87904,0.004555,0.004555,0.004555
46,341.167,1.03537,0.53542,0.88071,0.96574,0.94771,0.97578,0.71896,0.93528,0.49587,0.8726,0.00443125,0.00443125,0.00443125
47,348.643,1.02149,0.52542,0.87677,0.97244,0.94765,0.97673,0.71637,0.95266,0.49601,0.87599,0.0043075,0.0043075,0.0043075
48,355.816,1.02986,0.53451,0.88071,0.96955,0.94834,0.97602,0.72464,0.92439,0.4923,0.86649,0.00418375,0.00418375,0.00418375
49,363.229,1.0326,0.53371,0.8846,0.97396,0.94428,0.97701,0.71519,0.95844,0.49277,0.87241,0.00406,0.00406,0.00406
50,370.388,1.02076,0.52518,0.88089,0.96309,0.96158,0.97798,0.72383,0.92841,0.49672,0.86897,0.00393625,0.00393625,0.00393625
51,377.546,1.01792,0.5302,0.87964,0.97224,0.95293,0.98093,0.72264,0.92868,0.49375,0.87021,0.0038125,0.0038125,0.0038125
52,384.748,1.00728,0.52661,0.87426,0.97499,0.95475,0.97825,0.72559,0.92331,0.48353,0.86941,0.00368875,0.00368875,0.00368875
53,392.24,1.01105,0.5259,0.87512,0.97326,0.95293,0.97682,0.71839,0.93637,0.48995,0.86815,0.003565,0.003565,0.003565
54,399.467,1.00346,0.52154,0.87338,0.97517,0.95389,0.98003,0.72451,0.92565,0.49129,0.86816,0.00344125,0.00344125,0.00344125
55,406.67,1.00275,0.52017,0.87563,0.96678,0.95773,0.97995,0.72743,0.91596,0.48484,0.86865,0.0033175,0.0033175,0.0033175
