frame_id,timestamp,track_id,team_color,x,y,vx,vy,map_x,map_y
5,0.1666666666666666,15,marker,669.7016605470152,325.22474229093547,-0.4901775765433017,0.0144213508541522,669.70166,325.22473
5,0.1666666666666666,16,marker,597.0,370.0,0.0,0.0,597.0,370.0
5,0.1666666666666666,17,marker,570.5,253.0,0.0,0.0,570.5,253.0
5,0.1666666666666666,18,marker,676.6511451288861,321.0,-0.4613348748352136,0.0,676.6511,321.0
6,0.2,1,marker,796.8434261460646,483.8828924097923,-0.3057684805752015,0.1396526079253922,796.84344,483.8829
6,0.2,2,marker,587.9458638780276,241.1171075902076,-0.1614734939313141,-0.1396526079254022,587.94586,241.11711
6,0.2,3,marker,587.0,284.0541361219724,0.0,0.1614734939313141,587.0,284.05414
6,0.2,4,marker,565.8287562878199,279.0,-0.0218208860058835,0.0,565.82874,279.0
6,0.2,5,marker,594.5,368.4458638780276,0.0,-0.1614734939313141,594.5,368.44586
6,0.2,6,marker,756.5720049723382,522.4672631335496,0.1979237017803102,-0.7141520127049518,756.572,522.4673
6,0.2,7,marker,577.0,367.0,0.0,0.0,577.0,367.0
6,0.2,8,marker,773.4370285317648,466.5860912169423,0.3011261018567447,-0.1637946832905425,773.437,466.5861
6,0.2,9,marker,755.5,182.5,0.0,0.0,755.5,182.5
6,0.2,10,marker,679.5,319.0,0.0,0.0,679.5,319.0
6,0.2,11,marker,599.0,235.0,0.0,0.0,599.0,235.0
6,0.2,12,marker,793.5,159.85977266108526,0.0,0.0023211893592155,793.5,159.85977
6,0.2,13,marker,753.5,181.0,0.0,0.0,753.5,181.0
6,0.2,14,marker,572.5,252.4458638780276,0.0,-0.1614734939313141,572.5,252.44586
6,0.2,15,marker,669.5582509027282,325.30402346218784,0.2510694991002484,0.0049274510594946,669.5582,325.30402
6,0.2,16,marker,597.0,370.0626107881379,0.0,0.2495059988515088,597.0,370.06262
6,0.2,17,marker,570.5,252.9373892118621,0.0,-0.2495059988515088,570.5,252.9374
6,0.2,18,marker,676.6036870389661,321.0,0.0114184023676261,0.0,676.6037,321.0
7,0.2333333333333333,1,marker,796.5625273176431,483.9565640076155,-0.2410591231906829,0.0827802854026603,796.5625,483.95657
7,0.2333333333333333,2,marker,587.8181070680602,241.04343599238445,-0.1559075920039274,-0.0827802854026633,587.8181,241.04344
7,0.2333333333333333,3,marker,587.0,284.1818929319399,0.0,0.1559075920039133,587.0,284.1819
7,0.2333333333333333,4,marker,565.8233985444779,279.0,0.0512171922172405,0.0,565.8234,279.0
7,0.2333333333333333,5,marker,594.5,368.3181070680601,0.0,-0.1559075920039133,594.5,368.3181
7,0.2333333333333333,6,marker,756.7351728736442,521.9648841316335,0.1365967618851002,-0.5826374619940311,756.73517,521.9649
7,0.2333333333333333,7,marker,577.0,367.0,0.0,0.0,577.0,367.0
7,0.2333333333333333,8,marker,773.6384569395555,466.41859919665944,0.238687877406612,-0.157093214895977,773.6384,466.4186
7,0.2333333333333333,9,marker,755.5,182.5,0.0,0.0,755.5,182.5
7,0.2333333333333333,10,marker,679.5,319.0,0.0,0.0,679.5,319.0
7,0.2333333333333333,11,marker,599.0,235.0,0.0,0.0,599.0,235.0
7,0.2333333333333333,12,marker,793.5,159.89950787140063,0.0,0.0011856228920437,793.5,159.8995
7,0.2333333333333333,13,marker,753.5,181.0,0.0,0.0,753.5,181.0
7,0.2333333333333333,14,marker,572.5,252.3181070680601,0.0,-0.1559075920039204,572.5,252.3181
7,0.2333333333333333,15,marker,669.6817995516279,325.3597726610853,0.2492312275577443,0.0023211893592283,669.6818,325.35977
7,0.2333333333333333,16,marker,597.0,370.2122323112528,0.0,0.1956025124211617,597.0,370.21222
7,0.2333333333333333,17,marker,570.5,252.7877676887472,0.0,-0.1956025124211617,570.5,252.78777
7,0.2333333333333333,18,marker,676.6891125625458,321.0,0.0582710938549364,0.0,676.6891,321.0
7,0.2333333333333333,19,marker,752.0,180.0,0.0,0.0,752.0,180.0
7,0.2333333333333333,20,marker,793.0,155.5,0.0,0.0,793.0,155.5
8,0.2666666666666666,1,marker,796.161886830266,483.99893959670584,-0.6056705310397894,0.0471694048406806,796.16187,483.99893
8,0.2666666666666666,2,marker,587.7450251905796,241.00106040329408,-0.0107995912492487,-0.0471694048406774,587.745,241.00105
8,0.2666666666666666,3,marker,587.0,284.300649402751,0.0,0.1201092056423667,587.0,284.30066
8,0.2666666666666666,4,marker,565.8171136727503,279.0,-0.0467978114204606,0.0,565.81714,279.0
8,0.2666666666666666,5,marker,594.5,368.24502519057944,0.0,-0.0107995912492221,594.5,368.24503
8,0.2666666666666666,6,marker,756.9415197145402,521.5541859356948,0.3064680186456538,-0.4147625280193627,756.9415,521.5542
8,0.2666666666666666,7,marker,577.0,367.0,0.0,0.0,577.0,367.0
8,0.2666666666666666,8,marker,773.8909381861181,466.27143769877154,0.3858978392693502,-0.12068593713447,773.8909,466.27142
8,0.2666666666666666,9,marker,755.4543254066695,182.5,-0.1093096143931446,0.0,755.45435,182.5
8,0.2666666666666666,10,marker,679.5456745933304,319.0456745933305,0.1093096143931446,0.1093096143931446,679.54565,319.0457
8,0.2666666666666666,11,marker,599.0,235.0,0.0,0.0,599.0,235.0
8,0.2666666666666666,12,marker,793.5,159.92791289847744,0.0,0.0005767314920771,793.5,159.92792
8,0.2666666666666666,13,marker,753.5,181.0,0.0,0.0,753.5,181.0
8,0.2666666666666666,14,marker,572.4543254066695,252.19935059724895,-0.1093096143931446,-0.1201092056423738,572.45435,252.19936
8,0.2666666666666666,15,marker,669.8152581254705,325.39950787140066,0.1868563696915218,0.0011856228920495,669.81525,325.3995
8,0.2666666666666666,16,marker,597.0,370.3356650022434,0.0,0.1354111389931022,597.0,370.33566
8,0.2666666666666666,17,marker,570.5,252.70829732651956,0.0,-0.1956025124211617,570.5,252.7083
8,0.2666666666666666,18,marker,676.8760638036332,321.0,0.3025054741193543,0.0,676.87604,321.0
8,0.2666666666666666,19,marker,752.0,180.0,0.0,0.0,752.0,180.0
8,0.2666666666666666,20,marker,793.0,155.5,0.0,0.0,793.0,155.5
9,0.3,1,marker,795.570746767523,484.0201993158216,-0.615339811107175,0.0240897527957805,795.57074,484.0202
9,0.3,2,marker,587.7646572345972,240.9798006841783,0.0454792576185022,-0.0240897527957773,587.76465,240.9798
9,0.3,3,marker,587.0,284.3466001906082,0.0,-0.0223188065894498,587.0,284.3466
9,0.3,4,marker,565.7976088125728,279.0,0.0305427288581145,0.0,565.7976,279.0
9,0.3,5,marker,594.5,368.26465723459705,0.0,0.0454792576185406,594.5,368.26465
9,0.3,6,marker,757.2357490461686,521.265179343864,0.3059164391954462,-0.2659067030973595,757.2358,521.2652
9,0.3,7,marker,577.0,367.0,0.0,0.0,577.0,367.0
9,0.3,8,marker,774.22189026547,466.16097575109376,0.3603721510506967,-0.0820045724097266,774.22186,466.16098
9,0.3,9,marker,755.3887425747945,182.5,-0.0231604510291026,0.0,755.38873,182.5
9,0.3,10,marker,679.6554493947485,319.1554493947485,0.1272538852911477,0.1272538852911477,679.65546,319.15546
9,0.3,11,marker,599.0,235.0,0.0,0.0,599.0,235.0
9,0.3,12,marker,793.5,159.9482320887549,0.0,0.0002299447370934,793.5,159.94823
9,0.3,13,marker,753.5,181.0,0.0,0.0,753.5,181.0
