track_id,frame_id,timestamp,event_type,value
1,120,4.0,direction_change,179.73837567191626
1,127,4.233333333333333,direction_change,179.98589855927847
1,133,4.433333333333334,direction_change,179.9977823492902
1,385,12.833333333333334,direction_change,134.4175350561114
1,531,17.7,direction_change,156.90314756017412
1,538,17.933333333333334,direction_change,115.81236067630807
1,602,20.066666666666666,direction_change,88.23404356713715
1,612,20.4,direction_change,159.4944795370132
1,619,20.633333333333333,direction_change,119.54720762984844
1,636,21.2,direction_change,179.95102027444466
1,643,21.433333333333334,direction_change,116.62830813849031
1,653,21.766666666666666,direction_change,178.1929208901204
1,660,22.0,direction_change,176.86390020738006
1,712,23.733333333333334,direction_change,137.81962331299468
1,716,23.866666666666667,direction_change,65.6679798353872
1,720,24.0,direction_change,63.53110252813703
1,727,24.233333333333334,direction_change,148.40795068812244
1,762,25.4,direction_change,175.19921337224866
1,764,25.466666666666665,direction_change,89.39221344866756
1,774,25.8,direction_change,88.07103914615324
1,781,26.033333333333335,direction_change,94.89419755688564
1,1080,36.0,direction_change,69.35911216533134
1,1084,36.13333333333333,direction_change,123.38653546427827
1,1087,36.233333333333334,direction_change,89.0737985585893
1,1093,36.43333333333333,direction_change,72.68579451256929
1,1108,36.93333333333333,direction_change,87.73449241091201
1,1721,57.36666666666667,direction_change,132.13924587288201
1,1730,57.666666666666664,direction_change,179.93480147982825
1,1737,57.9,direction_change,179.98466532103575
1,1738,57.93333333333333,direction_change,179.9754252890525
1,1742,58.06666666666667,direction_change,79.6825908043809
1,1805,60.166666666666664,direction_change,154.0540233928043
1,1813,60.43333333333333,direction_change,178.70479734464152
1,62,2.066666666666667,stop_loot,60.0
2,9,0.3,direction_change,102.61382334376337
2,28,0.9333333333333333,direction_change,99.25652479629355
2,150,5.0,direction_change,120.76247543649188
2,160,5.333333333333333,direction_change,174.9913519918661
2,165,5.5,direction_change,179.3806962258597
2,179,5.966666666666667,direction_change,140.4689197332018
2,188,6.266666666666667,direction_change,163.03816277990035
2,190,6.333333333333333,direction_change,95.39722524998413
2,202,6.733333333333333,direction_change,72.20832307410012
2,203,6.766666666666667,direction_change,147.41626793415458
2,213,7.1,direction_change,165.4746922039892
2,237,7.9,direction_change,127.9911352374527
2,325,10.833333333333334,direction_change,174.64698414499154
2,347,11.566666666666666,direction_change,117.03707485540232
2,358,11.933333333333334,direction_change,75.44510382577853
2,366,12.2,direction_change,165.9640198456788
2,385,12.833333333333334,direction_change,61.387202828364835
2,403,13.433333333333334,direction_change,76.06590170041143
2,506,16.866666666666667,direction_change,69.6555316500051
2,512,17.066666666666666,direction_change,86.834857674795
2,670,22.333333333333332,direction_change,115.82152104430548
2,672,22.4,direction_change,161.85064921046245
2,695,23.166666666666668,direction_change,65.18782250045001
2,728,24.266666666666666,direction_change,165.83186650543976
2,729,24.3,direction_change,173.3578513488594
2,749,24.966666666666665,direction_change,105.70819660697413
